,time,flux,flux_err,quality,centroid_col,centroid_row
0,1472.1168216076403,9931.475,7.2519164,393216,453.6540572499718,434.32683275282557
1,1472.1372546505881,9838.691,7.2482944,393216,453.6550388344989,434.32550327793155
2,1472.1576874937746,9832.249,7.248201,393216,453.65395178332284,434.3284845609323
3,1472.1781205373118,9852.126,7.248604,401408,453.6535401489461,434.32727829923545
4,1472.1985534811902,9909.602,7.2514186,393216,453.65338969216083,434.32579439052444
5,1472.2189863254243,9978.689,7.255833,0,453.6518414572146,434.3267817362111
6,1472.2394193698929,10066.016,7.2601495,0,453.6535384255591,434.3277697207245
7,1472.2598523147026,10202.603,7.26707,0,453.65383321479817,434.3269028487581
8,1472.280285159868,10389.468,7.2754273,0,453.65507822229995,434.32832190041694
9,1472.3007182053843,10553.488,7.282435,0,453.6507433493402,434.3278044686536
10,1472.3211511511254,10688.814,7.2880096,0,453.6525551307324,434.3290858543486
11,1472.341584097223,10753.626,7.2912726,0,453.6523250661485,434.3297577449994
12,1472.3620170436698,10751.19,7.2910438,0,453.65385207306855,434.327794192286
13,1472.3824499904586,10642.657,7.2862763,0,453.65285827865875,434.3285076006873
14,1472.4028830374882,10494.501,7.2799573,393216,453.6519109410205,434.3278863932436
15,1472.423315884982,10350.0,7.2736406,0,453.6532249071978,434.3282186999298
16,1472.4437488325857,10190.874,7.266463,0,453.6527221686414,434.32679819157534
17,1472.464181880663,10264.565,7.2753367,393344,453.65478344281536,434.3301677890001
18,1472.4846148290817,10089.216,7.2618337,0,453.6551030003379,434.3254704705792
19,1472.5050476777396,9949.313,7.2548532,393216,453.65522840534214,434.3248901483469
20,1472.5254807267484,9928.213,7.252791,393216,453.6557044403469,434.326293368178
21,1472.5459136759891,9976.701,7.256848,0,453.65661499003625,434.32826152213255
22,1472.5663466256883,10034.473,7.259107,0,453.6529340531534,434.3283180692755
23,1472.5867795756276,10057.612,7.260384,0,453.65518944919654,434.3277870020631
24,1472.6072125259088,10129.156,7.2634106,0,453.6546443010841,434.32638213717115
