,time,flux,flux_err,quality,centroid_col,centroid_row
0,1472.1167730014495,35648.164,9.121011,0,57.97866497089308,127.95866501026192
1,1472.137206045445,35608.332,9.119325,0,57.97823152833003,127.95863557424147
2,1472.1576388896792,35605.574,9.119173,0,57.97877796997102,127.95954725434204
3,1472.1780719342642,35564.71,9.117979,0,57.977989747358464,127.95822151263383
4,1472.1985048791903,35556.01,9.117768,0,57.97747607138804,127.95818344373383
5,1472.2189377243558,35545.95,9.117247,0,57.97803398981992,127.95773757008074
6,1472.2393707699885,35542.426,9.116917,0,57.977433746060555,127.95795802675975
7,1472.259803715846,35524.06,9.116777,0,57.97683471696372,127.95780327169673
8,1472.2802365620591,35523.1,9.116535,0,57.97781802691708,127.95815281707995
9,1472.3006696086231,35503.258,9.115903,0,57.97707225546078,127.95829379863613
10,1472.3211025555283,35516.6,9.116233,0,57.977346187284546,127.95849948426309
11,1472.3415355026737,35517.523,9.116606,0,57.976741431899484,127.95764599870505
12,1472.3619684501682,35513.656,9.116653,0,57.9772753434881,127.95922116326031
13,1472.3824013980047,35487.715,9.114108,0,57.977053454854214,127.95833783303645
14,1472.4028344461985,35516.996,9.116179,0,57.977295311029586,127.95812250889297
15,1472.42326729474,35497.375,9.114609,0,57.97810901978491,127.95848387078449
16,1472.4437002436243,35507.285,9.114697,0,57.97841416224837,127.95913204058732
17,1472.4641332927495,35503.098,9.114814,0,57.977295048017645,127.95938089733512
18,1472.4845662422158,35514.71,9.115043,0,57.97691982511248,127.95978547471294
19,1472.504999092038,35509.17,9.114927,0,57.978113914648574,127.95951437692925
20,1472.5254321422108,35524.543,9.11568,0,57.97853636947517,127.95946992932382
21,1472.5458650926157,35510.277,9.115301,0,57.97855529582291,127.9596933972847
22,1472.566298043479,35538.562,9.116447,0,57.97853707637514,127.95992923169865
23,1472.5867309945825,35548.39,9.116502,0,57.977205337353304,127.96048810252307
24,1472.6071639460279,35574.152,9.118727,0,57.9776828046026,127.9606498453223
25,1472.6275968978298,35553.066,9.11678,0,57.977791206806934,127.96076706096319
26,1472.648029849981,35578.016,9.117746,0,57.97798893010958,127.96084837689851
27,1472.6684628024814,35593.77,9.118293,0,57.978033629443274,127.96093046358543
28,1472.6888957552073,35590.85,9.1184225,0,57.97874771522411,127.9614403912901
29,1472.7093287082898,35605.746,9.118692,0,57.97882107467061,127.9613945417384
30,1472.7297615617208,35611.664,9.119193,0,57.97872557999345,127.96147592230437
31,1472.7706275696255,35601.254,9.119045,0,57.97891254570035,127.96171118240008
32,1472.791060623982,35653.78,9.120422,0,57.97851174815665,127.96209532842846
33,1472.8114934786936,35625.188,9.119248,0,57.97868737631633,127.96271119713437
34,1472.8319264338716,35633.15,9.120629,0,57.97954042747431,127.96314562743856
35,1472.8523594892758,35641.918,9.120402,0,57.978707475845844,127.9635582130469
36,1472.8727923449187,35647.617,9.1207905,0,57.978882063831406,127.96349678959889
37,1472.893225301028,35642.344,9.121278,0,57.97883576547318,127.96354272371998
38,1472.9136583573636,35631.17,9.120176,0,57.979607003849644,127.96351072774233
39,1472.9340912141706,35628.93,9.120138,0,57.97905582461619,127.96430912605308
40,1472.9749572285946,35631.035,9.1202345,0,57.97908313613645,127.96431849410709
41,1472.9953901863337,35635.914,9.120262,0,57.979701012384815,127.96484090074526
42,1473.0158231443056,35596.492,9.11933,0,57.98010932245819,127.96460814087258
43,1473.036256102736,35592.12,9.118911,0,57.97964466967614,127.96471320563462
44,1473.0566890614064,35612.984,9.119715,0,57.97929429009774,127.96466657015237
45,1473.077122020426,35597.387,9.119529,0,57.97906898402974,127.96459143672378
46,1473.0975549797877,35590.188,9.119116,0,57.97965352978801,127.96531757833695
47,1473.1179879395058,35581.14,9.118978,0,57.98029278152813,127.96514734436225
48,1473.1588538599826,35591.707,9.119233,0,57.979508037227625,127.96542730781488
49,1473.1792869206329,35568.484,9.118358,0,57.98028382567591,127.96583879452788
50,1473.1997198816316,35589.906,9.119155,0,57.98066381166611,127.96584611129376
51,1473.2201527429715,35588.73,9.119408,0,57.98021759960533,127.9663607412034
52,1473.2405858046695,35584.332,9.118902,0,57.98063167714642,127.96603179259027
53,1473.261018766716,35614.254,9.12021,0,57.98051976374115,127.96625899720152
54,1473.2814516289873,35589.766,9.1192255,0,57.9804395495408,127.96696900902866
55,1473.301884691733,35582.57,9.119562,0,57.98061036942478,127.9666624987686
56,1473.3223176547108,35595.414,9.119042,0,57.98004836342269,127.96714562645234
57,1473.3427505180298,35601.547,9.120333,0,57.98092794647849,127.96738466774723
58,1473.3631835817068,35614.277,9.1205015,0,57.9810243318175,127.96727576115568
59,1473.3836164457316,35597.97,9.119927,0,57.98077726935058,127.96722510086249
60,1473.4040495100999,35620.79,9.120324,0,57.981115684295936,127.9679423490913
61,1473.4244824747075,35622.11,9.1210375,0,57.98070388055608,127.9676182244831
62,1473.44491533978,35606.96,9.120329,0,57.98103371350392,127.96772808894688
63,1473.4653484050796,35626.086,9.120633,0,57.98084708269881,127.96777876499735
