KIC ID,d,r_med_geo,r_lo_geo,r_hi_geo,r_med_photogeo,r_lo_photogeo,r_hi_photogeo,phot_g_mean_mag
892376,0.0001485822574390821,301.2864990234375,270.7925720214844,335.7257385253906,282.79962158203125,264.83819580078125,305.3663635253906,14.003999710083008
1572802,5.443223891921447e-05,295.3374328613281,293.2894592285156,297.012451171875,294.6414489746094,292.8860778808594,296.42718505859375,15.298199653625488
1872885,0.00019926566004442708,324.7429504394531,321.58001708984375,327.5088806152344,324.7810363769531,322.2746887207031,327.4110107421875,15.602499961853027
1873543,0.0002282046865974303,158.93035888671875,157.98023986816406,159.9305877685547,158.88217163085938,158.12246704101562,159.86956787109375,14.422800064086914
2157356,0.0001523541439697703,518.8218383789062,507.74456787109375,526.9715576171875,516.145751953125,506.5801086425781,524.669189453125,15.953200340270996
2283749,0.00010113697661565993,286.35205078125,283.1405944824219,289.945068359375,284.7148132324219,281.6470947265625,287.95648193359375,16.436599731445312
2300039,2.2762285223939725e-05,211.55889892578125,210.35708618164062,212.77041625976562,211.4212188720703,210.44210815429688,212.26638793945312,15.393600463867188
2424688,4.82923354274604e-05,421.28839111328125,415.8935546875,427.514404296875,422.31439208984375,415.9433288574219,428.53277587890625,15.776399612426758
2441562,9.844830707625424e-05,362.8145446777344,359.8304443359375,365.7001953125,361.49755859375,358.8810729980469,364.5386962890625,15.468000411987305
2442004,2.4872668784961525e-05,417.1619567871094,411.36590576171875,422.149658203125,416.9682922363281,412.580810546875,421.10614013671875,15.85789966583252
2555396,6.039094977335379e-05,193.05494689941406,192.0909881591797,193.8209228515625,193.34622192382812,192.31521606445312,194.5676727294922,15.67870044708252
2557669,6.427195251063078e-05,268.0648498535156,266.7416687011719,269.1596984863281,268.00799560546875,266.82470703125,269.06903076171875,14.767499923706055
2570846,3.4870199765460084e-05,255.6075439453125,254.2203369140625,257.2233581542969,255.56607055664062,254.3180694580078,256.98065185546875,15.312600135803223
2577743,0.00019674624237076447,70.27565002441406,70.09791564941406,70.44514465332031,70.25135803222656,70.09855651855469,70.39277648925781,13.974699974060059
2713086,1.0479157755314436e-05,272.1632385253906,270.50408935546875,274.354736328125,272.50537109375,270.8569641113281,274.0091552734375,14.936800003051758
2832720,7.403265976735548e-05,156.10916137695312,154.70132446289062,157.37924194335938,0.0,0.0,0.0,15.964099884033203
2834564,0.00023111864781728985,122.46257781982422,122.24614715576172,122.7055435180664,122.39613342285156,122.17027282714844,122.6257553100586,14.453399658203125
2834612,5.4618794032258365e-05,259.6442565917969,257.33526611328125,261.0838623046875,259.7862548828125,258.4853515625,261.1745910644531,15.464500427246094
2834637,0.00022926986368655003,123.60870361328125,123.21399688720703,123.96800231933594,123.536865234375,123.1550521850586,123.91806030273438,15.506400108337402
2992668,6.618708555183816e-05,131.62033081054688,130.09654235839844,133.40284729003906,131.981201171875,130.20957946777344,133.5707550048828,14.209600448608398
3102763,6.838283387034854e-05,344.90509033203125,341.6881103515625,347.755615234375,344.29541015625,340.9798278808594,347.432861328125,15.81719970703125
3109825,8.488432318145247e-05,135.9381561279297,135.62197875976562,136.21511840820312,135.8876190185547,135.66249084472656,136.0950927734375,14.204099655151367
3130391,0.00017148146393980492,588.6197509765625,577.4749755859375,600.3533325195312,563.83740234375,557.5208129882812,569.1639404296875,16.125900268554688
3216700,2.1437709654246278e-05,556.8290405273438,548.1699829101562,565.9337158203125,547.6356811523438,541.3909912109375,553.351806640625,15.728899955749512
3335194,2.4536499336173335e-05,369.2438049316406,365.8902282714844,372.7815856933594,369.9925231933594,366.4581604003906,373.2960510253906,15.704400062561035
3442034,8.296913352820322e-05,135.1798858642578,134.9503936767578,135.49237060546875,135.20294189453125,134.871337890625,135.56300354003906,14.13070011138916
3444822,0.0001577363881224352,175.59307861328125,174.93173217773438,176.3856964111328,175.64122009277344,174.9685516357422,176.18911743164062,15.517999649047852
3449953,3.563637902329059e-05,78.3912124633789,78.33028411865234,78.46974182128906,78.40372467041016,78.32109832763672,78.48548126220703,13.398799896240234
3454793,5.635551001298112e-05,174.52117919921875,160.8692626953125,190.86074829101562,177.7303009033203,165.46885681152344,192.7076416015625,16.06060028076172
3525783,2.8916153849281763e-05,377.9989318847656,372.73040771484375,382.02423095703125,378.2580871582031,374.2352600097656,382.6712951660156,15.90719985961914
3631048,2.9036640993946965e-05,350.833740234375,347.77874755859375,354.80291748046875,349.0301208496094,345.707275390625,352.0948791503906,15.793000221252441
3640527,5.113116112809083e-05,131.7244415283203,131.44358825683594,132.0257110595703,131.8456268310547,131.48443603515625,132.2406768798828,15.022500038146973
3646734,9.947377324101008e-05,213.7841796875,211.64682006835938,215.9488983154297,213.38381958007812,211.34323120117188,215.24964904785156,14.910499572753906
3733753,3.939631206579524e-05,234.4091796875,227.83935546875,241.3553009033203,237.40383911132812,231.9448699951172,244.52052307128906,15.311100006103516
3748172,5.471023302863296e-05,344.5068359375,340.9453125,348.2235412597656,342.0342712402344,338.5442199707031,345.6504211425781,15.649299621582031
3831911,3.2772269497400196e-06,330.17877197265625,325.1460266113281,335.1503601074219,328.0861511230469,323.442626953125,333.3730773925781,14.96399974822998
3934090,4.4638039010031135e-05,237.79318237304688,236.7318878173828,238.879638671875,238.0252227783203,236.9336700439453,239.13131713867188,14.913900375366211
3935499,3.201622720570815e-05,404.39013671875,389.68743896484375,422.0078430175781,406.6761169433594,394.9407958984375,418.3502197265625,15.301899909973145
3940372,5.74646809473581e-05,191.4895782470703,190.1296844482422,192.8164520263672,191.42425537109375,190.03933715820312,192.62330627441406,15.842000007629395
