,StdDeviation,Skew,Kurtosis,EtaE,StetsonK,Amplitude,Beyond1Std,Beyond2Std,Beyond3Std,MagnitudePercentageRatio,Cusum
1,0.0018944596499083136,-1.121402744761599,0.7023364643758336,1.7535229211028238,0.8289836174299597,0.0024551927632998627,0.16666666666666666,0.0,0.0,0.19307246408201154,0.37837752255671603
2,0.0007352061630507729,-1.0922820652227145,0.6024777350923607,1.6044466640648924,0.8502103545463647,0.0008807309439831101,0.2,0.0,0.0,0.24696164968767967,0.38022562958652406
3,0.0005546448559125873,-0.5004146180889499,-1.4818119897927922,1.3539896200194423,0.8648831589166153,0.0006685955598122462,0.16666666666666666,0.0,0.0,0.16701160902490556,0.3947633464551971
4,0.017586987060971192,-1.0023950453438257,0.2592841943266544,1.2460011504320705,0.8615472330902207,0.02234906258100544,0.16666666666666666,0.0,0.0,0.3395506341615872,0.3932407115996956
5,0.001807880784078895,-1.5433011624510529,1.2553909387173654,1.1692334034088738,0.8185973859945657,0.0026115871085643505,0.2,0.1,0.0,0.03679214310805596,0.38829483396091835
6,0.005678454568065651,-0.8760870379355449,-0.22993568433663203,1.045236366151111,0.8901012525685444,0.007574363052436084,0.14285714285714285,0.0,0.0,0.2805140923875709,0.41203681523020724
7,0.0015283811575771316,-0.7606289121833806,-1.0150154741725421,1.7959659443158429,0.8999997628159201,0.0017688470575034643,0.2,0.0,0.0,0.3122112726921889,0.40249212987778454
8,0.0023384708008118414,-0.2468611533969683,-2.2810815700902776,1.3285319216156044,0.9353333930210151,0.002655669572204644,0.5,0.0,0.0,0.42728194453424795,0.42691933178825914
9,0.009431653244836979,-1.0015514620303696,-0.8151280287603848,2.088310270503905,0.8981516802266367,0.011065899938637713,0.16666666666666666,0.0,0.0,0.2625202564174679,0.4099482794345072
10,0.003973484453763904,-0.7230345506925873,-1.7077473543782444,1.7197603510955728,0.930436078843344,0.004452113351332443,0.2,0.0,0.0,0.3435351916340396,0.41610366420205663
11,0.002405700013275352,-1.4513556954929963,1.7811812315237212,1.7716682271747224,0.8367952428183513,0.0028746246732218594,0.2,0.0,0.0,0.20705959782503436,0.37422620923835054
